"","ENSEMBL","baseMean","log2FoldChange","lfcSE","pvalue","padj","GENENAME","SYMBOL","ENTREZID"
"1","ENSRNOG00000000012",19.5700699672504,-0.0212219402110871,0.14225525954628,0.30492833981783,NA,"transcription factor 15","Tcf15","296272"
"2","ENSRNOG00000000017",132.446472810876,0.0133331986063505,0.140786677136464,0.527659350632436,0.812565344676021,"STEAP family member 1","Steap1","297738"
"3","ENSRNOG00000000024",1351.82239546899,-0.00847863787905924,0.123466857478965,0.886054291164928,0.960187331516534,"heme binding protein 1","Hebp1","362454"
"4","ENSRNOG00000000033",724.156462389237,-0.00710362709115976,0.141257128696239,0.516100621748003,0.806340823192124,"transmembrane and coiled-coil domain family 2","Tmcc2","305095"
"5","ENSRNOG00000000034",174.016159047646,0.0248594799384238,0.139791263512127,0.477843555568063,0.782947878804039,"NUAK family kinase 2","Nuak2","289419"
"6","ENSRNOG00000000040",27.2506447141204,-0.0128348851595262,0.139067352920346,0.658056544799188,NA,"KIAA1614 homolog","Kiaa1614","305101"
"7","ENSRNOG00000000042",365.957721089516,0.036409556437221,0.130452291725208,0.541651151810701,0.819487574702109,"xenotropic and polytropic retrovirus receptor 1","Xpr1","289424"
"8","ENSRNOG00000000043",490.206589939611,0.39383503913195,0.607415278779183,0.0103529728074862,0.169940763731405,"alpha-L-iduronidase","Idua","360904"
"9","ENSRNOG00000000044",314.386236751354,-0.0412263714807128,0.124293503249278,0.532362175857058,0.814851792327223,"transmembrane protein 175","Tmem175","305623"
"10","ENSRNOG00000000047",1751.15778263569,-0.00557868990880391,0.13195732692369,0.906283447767112,0.968647864516388,"Cd82 molecule","Cd82","83628"
"11","ENSRNOG00000000048",2008.21950804186,-0.000424497913218177,0.110047578218336,0.993420618029841,0.998419291690479,"cyclin G associated kinase","Gak","81659"
"12","ENSRNOG00000000053",8.1995807219756,0.0155299450333873,0.141769914023816,0.34047638535315,NA,"C-reactive protein","Crp","25419"
"13","ENSRNOG00000000054",1507.88629244627,-0.100468616913811,0.159140359320296,0.157464982601801,0.525240762424397,"abhydrolase domain containing 8","Abhd8","306338"
"14","ENSRNOG00000000055",309.043153588916,-0.0326098351744191,0.144990751851099,0.178780073266599,0.548476824606816,"Fc receptor-like 6","Fcrl6","305103"
"15","ENSRNOG00000000062",645.250688294698,0.018980566669282,0.118419438733732,0.778903643706818,0.920223751212744,"polycomb group ring finger 3","Pcgf3","305624"
"16","ENSRNOG00000000064",531.094685784415,-0.121474721435531,0.165509739018903,0.124796009334246,0.483101858643453,"ATP synthase membrane subunit e","Atp5me","140608"
"17","ENSRNOG00000000066",624.406478455332,0.0116269689921325,0.111223139274852,0.867972742072802,0.954085804292556,"F-box protein 28","Fbxo28","305105"
"18","ENSRNOG00000000068",6337.10972262935,-0.0369317493239252,0.106639008755691,0.599091121227104,0.849257577042046,"protein phosphatase 2, regulatory subunit B', alpha","Ppp2r5a","312754"
"19","ENSRNOG00000000070",2620.329605029,0.075592903531559,0.105391850320465,0.316130436770632,0.67070438948139,"down-regulator of transcription 1","Dr1","289881"
"20","ENSRNOG00000000073",1191.55269335868,0.169207578554653,0.220363849438492,0.0548156617860825,0.350636527038656,"transmembrane p24 trafficking protein 5","Tmed5","289883"
"21","ENSRNOG00000000075",1410.3532080481,0.111270701306072,0.184890921319733,0.0803825034119257,0.413349052097911,"metal response element binding transcription factor 2","Mtf2","360905"
"22","ENSRNOG00000000081",1436.85532257677,0.0655606480274895,0.120220561704419,0.371602269667499,0.716382415122284,"ANTXR cell adhesion molecule 2","Antxr2","305633"
"23","ENSRNOG00000000082",4759.1896734069,0.0468240460736238,0.144475300026579,0.29078059564383,0.653997843027461,"helicase-like transcription factor","Hltf","295568"
"24","ENSRNOG00000000095",1870.10390554328,0.0174277625267656,0.119810473578404,0.792665111618756,0.925066381595902,"G protein-coupled receptor 89B","Gpr89b","362003"
"25","ENSRNOG00000000097",205.537089085292,0.0858239873086636,0.159461749949747,0.16196456819958,0.531621486256557,NA,NA,NA
"26","ENSRNOG00000000098",2362.79559477047,0.0368906838172338,0.097688863115764,0.601236898045306,0.849600546631837,"ring finger protein 115","Rnf115","362002"
"27","ENSRNOG00000000104",2592.97800350378,-0.148824519786198,0.159180905520813,0.0934926103115186,0.434721255667781,"THO complex subunit 3","Thoc3","290519"
"28","ENSRNOG00000000108",762.200425613404,-0.042029853127547,0.128096390548519,0.508394192265676,0.803006087533951,"aspartylglucosaminidase","Aga","290923"
